,filesystem_read_file,filesystem_write_file,websearch_search_web,websearch_fetch_url,database_query_db,database_insert_record,analytics_run_analysis,analytics_generate_report,email_send_email,email_read_inbox,calendar_create_event,calendar_list_events,code_run_code,code_get_output,vector_embed_query,vector_search_index
filesystem_read_file,0.0,0.0,0.0,0.0,0.0,0.0,725.3,0.0,0.0,0.0,952.2857142857143,0.0,0.0,0.0,0.0,0.0
filesystem_write_file,952.2857142857143,1274.25,0.0,0.0,1177.4285714285713,0.0,0.0,0.0,1453.0,0.0,1081.5,948.7142857142857,0.0,0.0,0.0,0.0
websearch_search_web,0.0,2635.0,1177.7607142857144,1254.1032665433981,1514.4761904761906,0.0,1952.8,0.0,2894.0,0.0,2655.0,0.0,1803.5,0.0,2820.8571428571427,0.0
websearch_fetch_url,725.3,1863.2964285714286,1069.7564102564104,734.5140931017982,1140.3718253968252,0.0,1074.6860544217686,0.0,1112.881790123457,0.0,1088.0,1152.0679012345677,1611.5833333333335,0.0,638.5059978483055,0.0
database_query_db,0.0,1274.25,0.0,820.6666666666667,507.97934782608695,0.0,1122.8010204081631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
database_insert_record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_run_analysis,0.0,0.0,0.0,0.0,954.1507936507936,0.0,981.3238095238095,1305.1074675324674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_generate_report,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.65,1468.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email_send_email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.4469135802468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email_read_inbox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calendar_create_event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.4332491582493,0.0,0.0,0.0,0.0,0.0
calendar_list_events,0.0,1344.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.4906746031745,0.0,0.0,0.0,0.0,0.0
code_run_code,0.0,0.0,0.0,0.0,0.0,0.0,1468.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1632.53125,0.0,0.0
code_get_output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vector_embed_query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.7955284552846,0.0
vector_search_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
