,filesystem_read_file,filesystem_write_file,websearch_search_web,websearch_fetch_url,database_query_db,database_insert_record,analytics_run_analysis,analytics_generate_report,email_send_email,email_read_inbox,calendar_create_event,calendar_list_events,code_run_code,code_get_output,vector_embed_query,vector_search_index
filesystem_read_file,1023.0880398671095,0.0,833.2128774947479,1041.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filesystem_write_file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.9166666666667,0.0,0.0
websearch_search_web,1269.9333333333334,0.0,789.7753929763396,0.0,1144.170599614846,477.0,0.0,0.0,0.0,0.0,1138.9722222222222,0.0,1303.625,0.0,0.0,0.0
websearch_fetch_url,0.0,0.0,0.0,1136.5,0.0,0.0,1136.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
database_query_db,0.0,795.0400735294118,1307.0,1136.5,760.0672119623042,930.6875,1443.387908496732,0.0,0.0,0.0,1062.4642857142858,0.0,0.0,0.0,0.0,0.0
database_insert_record,0.0,0.0,0.0,0.0,0.0,634.6785714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_run_analysis,0.0,0.0,0.0,0.0,0.0,0.0,1032.55,1431.8072327044024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_generate_report,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.5,1441.1677083333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email_send_email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.9478632478633,1248.4444444444443,0.0,0.0,0.0,0.0
email_read_inbox,0.0,0.0,1263.6246031746034,0.0,0.0,0.0,0.0,0.0,0.0,1401.1941763191764,1082.375,1272.21875,0.0,0.0,0.0,0.0
calendar_create_event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.8064021164023,0.0,1091.5466269841272,0.0,0.0,0.0
calendar_list_events,0.0,0.0,1223.0,0.0,960.5,0.0,0.0,0.0,0.0,0.0,1248.4444444444443,0.0,1649.7229166666664,0.0,0.0,0.0
code_run_code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.5625,0.0,0.0,1683.1535947712418,1480.5,1568.6302083333335
code_get_output,0.0,1423.84375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,0.0,0.0,0.0,1746.7619047619046,1679.7222222222222
vector_embed_query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716.0
vector_search_index,873.2179487179487,1612.7179487179487,1269.9333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.2291666666665,0.0,0.0
