,filesystem_read_file,filesystem_write_file,websearch_search_web,websearch_fetch_url,database_query_db,database_insert_record,analytics_run_analysis,analytics_generate_report,email_send_email,email_read_inbox,calendar_create_event,calendar_list_events,code_run_code,code_get_output,vector_embed_query,vector_search_index
filesystem_read_file,1039.2285517512792,0.0,1116.4705762987014,0.0,0.0,0.0,2093.666666666667,0.0,0.0,0.0,0.0,0.0,1676.6944444444446,0.0,0.0,0.0
filesystem_write_file,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
websearch_search_web,0.0,0.0,1104.782167027417,1505.136289983165,1030.1157407407406,0.0,1098.0454545454545,0.0,993.5454545454545,1230.1875,1103.190798611111,1158.5927083333333,1116.4705762987014,0.0,0.0,0.0
websearch_fetch_url,0.0,0.0,0.0,1133.0668449197863,0.0,0.0,0.0,0.0,0.0,0.0,1159.05,0.0,1271.7261031366293,0.0,0.0,0.0
database_query_db,0.0,0.0,0.0,1125.625,0.0,0.0,0.0,0.0,1061.5,0.0,903.2222222222222,0.0,1796.3333333333333,0.0,0.0,0.0
database_insert_record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_run_analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.9791666666665,0.0,0.0,1098.0454545454545,0.0,0.0,1053.0,0.0,0.0
analytics_generate_report,0.0,1014.4785353535353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email_send_email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1179.0580213903743,1444.0,1386.4432170542636,1264.5189393939395,0.0,0.0,0.0,0.0
email_read_inbox,0.0,0.0,1157.232731821319,0.0,0.0,0.0,0.0,0.0,1426.1079662004663,1306.8813754449916,1698.663888888889,1355.7981292517009,0.0,0.0,0.0,0.0
calendar_create_event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.4596988402543,1549.7458333333334,1039.2612654320985,1394.4375,0.0,0.0,0.0,0.0
calendar_list_events,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.9796485260763,1351.7394288003663,1237.3620129870128,1343.045682677538,0.0,0.0,0.0,0.0
code_run_code,2404.3333333333335,0.0,0.0,0.0,0.0,0.0,1053.0,1433.8857142857144,0.0,0.0,0.0,0.0,0.0,1458.034209280303,1126.3722222222223,0.0
code_get_output,1783.0,1710.3333333333333,0.0,0.0,0.0,0.0,1614.2666666666669,1182.2881313131313,0.0,0.0,0.0,0.0,0.0,0.0,1345.6372053872053,0.0
vector_embed_query,0.0,1349.6666666666665,0.0,0.0,0.0,0.0,869.1666666666666,1113.0613275613275,0.0,0.0,0.0,0.0,0.0,0.0,1201.3333333333333,0.0
vector_search_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
