,filesystem_read_file,filesystem_write_file,websearch_search_web,websearch_fetch_url,database_query_db,database_insert_record,analytics_run_analysis,analytics_generate_report,email_send_email,email_read_inbox,calendar_create_event,calendar_list_events,code_run_code,code_get_output,vector_embed_query,vector_search_index
filesystem_read_file,933.3236684735348,1997.3333333333335,739.3788221423086,525.0588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.3557422969188,0.0,961.6555555555556,0.0
filesystem_write_file,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,686.9302074722663,936.6670480313336,0.0,0.0,0.0,1647.6666666666667,630.7272727272727,0.0,0.0
websearch_search_web,899.284593837535,1831.3333333333335,808.0031974845275,1132.21543873274,623.1708791208791,0.0,789.2535353535353,0.0,0.0,0.0,1464.0,1151.1,1028.3221566312475,0.0,1272.253888888889,867.2884615384618
websearch_fetch_url,0.0,0.0,0.0,860.823462821517,0.0,0.0,1460.7,1167.4646464646466,1995.8,0.0,1845.1666666666667,0.0,932.590123724315,698.0,935.3844621983409,916.5680555555555
database_query_db,0.0,0.0,0.0,590.8461538461538,1058.1666666666665,2275.4166666666665,613.5166666666668,0.0,0.0,0.0,0.0,0.0,643.6,0.0,0.0,471.75
database_insert_record,0.0,0.0,0.0,0.0,0.0,1058.1666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_run_analysis,0.0,699.3395908829731,806.1666666666666,660.8874999999999,0.0,0.0,0.0,993.8668351772067,0.0,0.0,0.0,0.0,655.2727272727273,0.0,825.264351851852,727.6666666666666
analytics_generate_report,0.0,766.7653679653679,0.0,0.0,0.0,0.0,0.0,0.0,911.798502474583,0.0,1266.8546957671958,0.0,630.7272727272727,0.0,1430.962857142857,0.0
email_send_email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.3673975840336,0.0,846.5094516272993,0.0,0.0,0.0,0.0,0.0
email_read_inbox,0.0,0.0,1358.6726851851852,1562.0,0.0,0.0,0.0,0.0,0.0,1321.8936363636362,0.0,0.0,0.0,0.0,1273.136111111111,0.0
calendar_create_event,0.0,661.0833333333334,0.0,0.0,0.0,0.0,1464.0,1240.0319444444444,1416.669642857143,0.0,985.704248366013,0.0,0.0,0.0,0.0,1352.0
calendar_list_events,0.0,0.0,0.0,727.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code_run_code,0.0,1141.5535353535354,0.0,698.0,0.0,0.0,912.2129399195575,925.4675925925926,0.0,0.0,0.0,0.0,0.0,1397.7494951504,677.2042828721751,1011.1428571428572
code_get_output,1997.3333333333335,1439.2291666666665,0.0,0.0,0.0,0.0,1284.020202020202,1198.8415858651151,1427.8017676767677,0.0,1690.8333333333335,0.0,0.0,0.0,1055.0098039215686,0.0
vector_embed_query,0.0,861.3,1354.0,989.8407407407407,471.75,0.0,921.8960606060606,1226.6679573512909,1013.388888888889,0.0,1417.8023809523809,0.0,905.4128205128205,661.0833333333334,913.4066138763199,953.6806743161522
vector_search_index,0.0,727.6666666666666,0.0,1118.0996794871796,0.0,0.0,660.8267921854056,1024.3636363636363,1773.8,0.0,1240.0319444444444,0.0,904.9977508239762,0.0,696.75,1282.724
