,filesystem_read_file,filesystem_write_file,websearch_search_web,websearch_fetch_url,database_query_db,database_insert_record,analytics_run_analysis,analytics_generate_report,email_send_email,email_read_inbox,calendar_create_event,calendar_list_events,code_run_code,code_get_output,vector_embed_query,vector_search_index
filesystem_read_file,1250.2583333333334,0.0,0.0,0.0,0.0,0.0,1706.0103246753247,2597.6666666666665,1772.0,0.0,0.0,0.0,1488.3059523809525,0.0,0.0,0.0
filesystem_write_file,1186.2916666666667,1339.2083333333333,0.0,0.0,0.0,0.0,0.0,0.0,1586.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
websearch_search_web,0.0,0.0,0.0,1041.3146969696968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2075.625,0.0,0.0,0.0
websearch_fetch_url,0.0,0.0,0.0,528.8122727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.9583333333333,0.0,689.5522727272727,0.0
database_query_db,0.0,0.0,0.0,0.0,912.4285714285714,0.0,0.0,0.0,0.0,0.0,1228.3326058201058,1727.5349999999999,0.0,0.0,0.0,0.0
database_insert_record,0.0,0.0,0.0,0.0,0.0,869.5238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_run_analysis,0.0,1855.6923076923076,0.0,0.0,0.0,0.0,1374.4116666666669,1557.7254699248122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics_generate_report,1323.6518518518517,1354.6098958333332,0.0,0.0,0.0,0.0,0.0,1193.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email_send_email,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
email_read_inbox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0,0.0,0.0,1843.75,0.0,1078.75,0.0,0.0
calendar_create_event,0.0,0.0,0.0,0.0,0.0,1912.25,0.0,0.0,0.0,0.0,1088.2313081554466,1025.0040372670808,0.0,0.0,0.0,0.0
calendar_list_events,0.0,0.0,0.0,0.0,1561.3459383753502,1022.3802197802198,0.0,0.0,1843.75,0.0,1005.3916666666668,1757.0,0.0,0.0,0.0,0.0
code_run_code,1958.5,1654.25,0.0,0.0,0.0,0.0,0.0,1304.0285714285715,1087.25,1058.875,0.0,0.0,0.0,1672.5416666666667,0.0,0.0
code_get_output,1585.5,1519.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.7916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vector_embed_query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.7272727272727,0.0,0.0,0.0,0.0,0.0,539.7339285714286,1878.0
vector_search_index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
